,startBlock,endBlock,badOperatorCount,badContractCount
0,3919706,3920706,0,0
1,3920706,3921706,0,0
2,3921706,3922706,0,0
3,3922706,3923706,0,0
4,3923706,3924706,0,0
5,3924706,3925706,0,0
6,3925706,3926706,0,0
7,3926706,3927706,0,0
8,3927706,3928706,0,0
9,3928706,3929706,0,0
10,3929706,3930706,0,0
11,3930706,3931706,0,0
12,3931706,3932706,0,0
13,3932706,3933706,0,0
14,3933706,3934706,0,0
15,3934706,3935706,0,0
16,3935706,3936706,0,0
17,3936706,3937706,0,0
18,3937706,3938706,0,0
19,3938706,3939706,0,0
20,3939706,3940706,0,0
21,3940706,3941706,0,0
22,3941706,3942706,0,0
23,3942706,3943706,0,0
24,3943706,3944706,0,0
25,3944706,3945706,0,0
26,3945706,3946706,0,0
27,3946706,3947706,0,0
28,3947706,3948706,0,0
29,3948706,3949706,0,0
30,3949706,3950706,0,0
31,3950706,3951706,0,0
32,3951706,3952706,0,0
33,3952706,3953706,0,0
34,3953706,3954706,0,0
35,3954706,3955706,0,0
36,3955706,3956706,0,0
37,3956706,3957706,0,0
38,3957706,3958706,0,0
39,3958706,3959706,0,0
40,3959706,3960706,0,0
41,3960706,3961706,0,0
42,3961706,3962706,0,0
43,3962706,3963706,0,0
44,3963706,3964706,0,0
45,3964706,3965706,0,0
46,3965706,3966706,0,0
47,3966706,3967706,0,0
48,3967706,3968706,0,0
49,3968706,3969706,0,0
50,3969706,3970706,0,0
51,3970706,3971706,0,0
52,3971706,3972706,0,0
53,3972706,3973706,0,0
54,3973706,3974706,0,0
55,3974706,3975706,0,0
56,3975706,3976706,0,0
57,3976706,3977706,0,0
58,3977706,3978706,0,0
59,3978706,3979706,0,0
60,3979706,3980706,0,0
61,3980706,3981706,0,0
62,3981706,3982706,0,0
63,3982706,3983706,0,0
64,3983706,3984706,0,0
65,3984706,3985706,0,0
66,3985706,3986706,0,0
67,3986706,3987706,0,0
68,3987706,3988706,0,0
69,3988706,3989706,0,0
70,3989706,3990706,0,0
71,3990706,3991706,0,0
72,3991706,3992706,0,0
73,3992706,3993706,0,0
74,3993706,3994706,0,0
75,3994706,3995706,0,0
76,3995706,3996706,0,0
77,3996706,3997706,0,0
78,3997706,3998706,0,0
79,3998706,3999706,0,0
80,3999706,4000706,0,0
81,4000706,4001706,0,0
82,4001706,4002706,0,0
83,4002706,4003706,0,0
84,4003706,4004706,0,0
85,4004706,4005706,0,0
86,4005706,4006706,0,0
87,4006706,4007706,0,0
88,4007706,4008706,0,0
89,4008706,4009706,0,0
90,4009706,4010706,0,0
91,4010706,4011706,0,0
92,4011706,4012706,0,0
93,4012706,4013706,0,0
94,4013706,4014706,0,0
95,4014706,4015706,0,0
96,4015706,4016706,0,0
97,4016706,4017706,0,0
98,4017706,4018706,0,0
99,4018706,4019706,0,0
100,4019706,4020706,0,0
101,4020706,4021706,0,0
102,4021706,4022706,0,0
103,4022706,4023706,0,0
104,4023706,4024706,0,0
105,4024706,4025706,0,0
106,4025706,4026706,0,0
107,4026706,4027706,0,0
108,4027706,4028706,0,0
109,4028706,4029706,0,0
110,4029706,4030706,0,0
111,4030706,4031706,0,0
112,4031706,4032706,0,0
113,4032706,4033706,0,0
114,4033706,4034706,0,0
115,4034706,4035706,0,0
116,4035706,4036706,0,0
117,4036706,4037706,0,0
118,4037706,4038706,0,0
119,4038706,4039706,0,0
120,4039706,4040706,0,0
121,4040706,4041706,0,0
122,4041706,4042706,0,0
123,4042706,4043706,0,0
124,4043706,4044706,0,0
125,4044706,4045706,0,0
126,4045706,4046706,0,0
127,4046706,4047706,0,0
128,4047706,4048706,0,0
129,4048706,4049706,0,0
130,4049706,4050706,0,0
131,4050706,4051706,0,0
132,4051706,4052706,0,0
133,4052706,4053706,0,0
134,4053706,4054706,0,0
135,4054706,4055706,0,0
136,4055706,4056706,0,0
137,4056706,4057706,0,0
138,4057706,4058706,0,0
139,4058706,4059706,0,0
140,4059706,4060706,0,0
141,4060706,4061706,0,0
142,4061706,4062706,0,0
143,4062706,4063706,0,0
144,4063706,4064706,0,0
145,4064706,4065706,0,0
146,4065706,4066706,0,0
147,4066706,4067706,0,0
148,4067706,4068706,0,0
149,4068706,4069706,0,0
150,4069706,4070706,0,0
151,4070706,4071706,0,0
152,4071706,4072706,0,0
153,4072706,4073706,0,0
154,4073706,4074706,0,0
155,4074706,4075706,0,0
156,4075706,4076706,0,0
157,4076706,4077706,0,0
158,4077706,4078706,0,0
159,4078706,4079706,0,0
160,4079706,4080706,0,0
161,4080706,4081706,0,0
162,4081706,4082706,0,0
163,4082706,4083706,0,0
164,4083706,4084706,0,0
