forSale	properties	openSale	high_quality_image	isHiddenPlatform	job_id	artifactUri	ipfs	baking_time_in_minutes	expiration	statusMint	background	image_details	resellable	intermediateLevelSegment	small	mid	subtitle	iframe_url	pfp	typeContract	core_attributes	description	media_type	liveModel	initialLevelSegment	contractAddress	uniqueComboId	publishers	name	animation_url	original	image_transparent	minted	action	royaltyInfo	interactive_nft	url	hash	salt	nameJP	timestamp	byoaVersion	imageUri	fiatPrice	aspect ratio (w/h)	audio_url	price	image_ipfs	subscription	tier	tokenID	finalLevelSegment	seedResult	date	poster	image_data	imageArweave	external_url	title	image_url	versions_url	ipfs_image	identifier	verificationBundle	sample	attributes	genre	verificationSignature	vote_balance	baking_temp_in_celsius	is_features_added	colorThief	tokenId	symbol	iimage	drop	seller_fee_basis_points	revealed	seed	isRevealed	file_key	by	minter	vectorHash	transparent_animation_url	Attributes	prestige	imageUrl	physical_specifications_uri	twitter	assets	large_image	sha256	category	__v	website	descriptionJP	categories	gene	artist_address	scale	token_uri	thumbnail	globeObjects	attr	priceUSD	externalUri	txHash	medium_image	image_thumbnail_url	chainId	spaceObjects	token_number	external_uri	baseURI	imageIpfs	nonce	preview	baseSpeed	royalty_info	medium_quality_image	color	numAvailable	high_resolution	payout_address	additional_image	created_by	uses hash	isRare	_id	no	wisdom:	note	id	uuid	is_opened	file	originalimage	particleColor	compiler	owners	generation	image_preview_url	ethPrice	offset	imageMimeType	copyright_transfer	collection_id	trait	usecase	mediaMimeType	editions	asset_tag	fee_recipient	displayUri	playdapp	cargoDisplayContent	terrain	background_color	imageHash	rarity_level	seoImage	traits	parameters	token_hash	verificationHash	nft_number	royalties	canvases	address	contents	about	borrow	imageanim	eye	thumbnailUri	twitterBanner	web_url	aspect_ratio	question	blockchain	combination	collection_name	texture_url	edition_number	decimals	status	preview_images	skills	dna	artist_link	script	collection_url	amountToMint	nft_class	external_url_more_info	uri	fileName	countInit	moji_id	youtube_url	token_id	type	misc	internal_id	formats	asset_size_in_bytes	original_art_url	image_original_url	license	media_url	is_alpha	cid	typeSale	features	apiURL	card_amounts	script type	gender	contentType	tags	discord	home_url	adultContent	nonceTimestamp	animal	tokenHash	external_link	original_creator	artist_name	web_cid	nftAddress	edition_total	animation_details	small_image	maskup	pngHash	random_seed	visibility	is_locked	source_code	vm_designer	Thumbnail	src_url	colors	owner	ipfs_url	isBooleanAmount	byoa	creators	reflectivity	dominantColor	thumbnail_url	library	gallery_glb_uri	transactionHash	answer	expired	animation	sandbox	shouldPreferSymbol	packed	available_tiers	particleShape	nft_contract_address	extension_uri	issues	license_url	dependencies	seedBase	image_mime_type	artist	fingerprint	resources	nftsHistory	signature	contract	authorRoyalty	publish	colorCode	image_arweave_uri	tokenIndex	comingSoon	media	monster	image	octpass	recipe_id	provenanceSequenceNumber	platform	matrix	creator	language	noise	logo	exclusive	asset_type	file_metadata	Edition	student_id	base	edition	exhibition	author	Extension	decentralized_interactive_url	series	mintedOn	mimeType	version	collection
																						A mighty a							Benkt Hakison																																					trait_type,value							1032																																																																																																																																																																																																																					ipfs://QmXF6zvy62dvWUpS4kSsthv4VAWJM5BCwQhE7cChZB3qUx/1032.png																									0xc2b3DAF1B51238bd13AfCEF6E713813E6c2574E8
																																																																									1221																																																																																																																																																																																																																																														0xB440872E7E1384d1E548a6E95A2253DCE622DCaF
																													CHAVS #6																																					trait_type,value							6																																																																																																																																																																																																																					https://chavs.io/artworks/6.jpg																									0x0B8086E0148Bb26e759b04428D773BD70354F71A
			https://arweave.net/Rnq6YgsSsf_lIA77KS2bF_Y0OQJzs7tb1TNRQduIiQg/100.mp4																			Maxwell #1							Maxwell #100																																					trait_type,value							100																																																https://arweave.net/fXKLqWBlc8_AEw0GMIB0MZFx3xEPMqZGHNlfVBdXhbg/100.mp4																																																																																																																																																																					https://arweave.net/KE8pUhmxK8grN1RWEtk3gJhfXz-yZwEkN0M7xX2xLk8/100.mp4																									0x17148D0262e85f7103Bef5cDdAb0eCfAB7294D14
																						A collecti							#107																																												107																																																																																																																																																																																																																					https://cryptospherenft.com/nft/place.gif																1									0xD305E3885a9aC0d77bfD8b6c954e357b04b3623D
																						CryptoLabs							CryptoLabs Pre-Reveal																													https://cryptolabsnft.com															1																																																																																																																																																																																																																					ipfs://QmVm6zoB9gZvYeejAfy5WaRhroB5rjNZZXnTG6RPTQ5gvm/Hidden Jack.png																									0x42B925b896E5ED791C68f1B7b58612BEf12C19Fb
																						A burdened							Soothsayer #15/15																													https://niftygateway.com/#/															21500030015																																																																																						ffffff																																																																																																																															https://res.cloudinary.com/nifty-gateway/image/upload/v1635541299/AMatthew/MetageistNov5/SoothSayer_ofw4wp.jpg																									0xfeA2088Eedd64Bb5A9fB23BDCDB3DeD11f777376
																																																																									100																																																																																																																																																																																																																																														0xC34C39Aa3A83aFDD35Cb65351710cFc56A85c9F5
																													Genji Gang #145																													https://www.genjigang.com/								trait_type,value							145																																																																																																																																																																																																																					https://genjigang.mypinata.cloud/ipfs/QmXtWqUFWWbPQv83gHA8YG9KXjrAQMqNtajLQbEvW3BjhR																									0x9667e807AD58aF4C07Ee606F85ada62E1fb9c3E1
																													Golden Token: New York 101/999																																					trait_type,value							101																																																																																																																																																																																																																					https://images.mirror-media.xyz/publication-images/0255a8cf-eda0-485d-9c79-2fe4f85f93d8.gif?height=3840&width=2160																									0xd43529990F3FbA41Affd66C4A8Ab6C1b7292D9Dc
																						Ka'andras 							Ka'andras Kedu #1000																																					trait_type,value							1000																																																																																																																																																																																																																					https://gateway.pinata.cloud/ipfs/QmTDGaUBzirJSzUT1JN42ThB89ShGrZBoKLo2qRMrqYCZJ/1000.jpg																									0x3776e86B9a14c4D020eB3aC6888FD21864C500A9
