seller_fee_basis_points	standardWidth	rv	is_alpha	thumbnail	type	external_uri	dist	is dynamic	background_color	updates	prestige	coordinates_bottom_right	Genre	Address	temperature	z	generation	subtitle	creators	xp	features	apiURL	color	payout_address	marble_attributes	ETH$	image_url	offset	bayer	Author	gif_url	var_max	token_id	copyright_transfer	description	image_data	royalty_amount	tokenID	animation_url	decimals	xWidth	Release Qty	id	base	var_min	animation_image	home_url	desc	amount	adw	landmark	archival_url	version	tokenNumber	uniqueComboId	designer	edizione	maxSupply	vz	imageid	image_cover	Watch	lum	texture_orm	updatedAt	canvasImage	BTC Block Height	abilities	var	numAvailable	interactive_nft	preview_images	assetType	resellable	image_original	series	pmrarad	aspect ratio (w/h)	collection_name	scarf	license_url	timestamp	yearCreated	error	original	auctionLength	printableSeries	static-image	tokenId	seed	combination	created_at	shape_obj	attributes	audio	original_creator	scale	mouth	external_link	COMMS	status	token_hash	symbol	canvasWidthInPx	canvases	collection_url	rarity	updated_at	createdAt	icon	media	minted	gasless	edition_total	vintageImage	shape_gltf	Hat	principal	store	title	forSale	mapping_id	token_uri	artwork code	hip	author	radius	dec	eyes	contract	tune_token_id	template	owner	card_id	comp	con	Reference	edition_number	isRevealed	awp	auctionType	listing_id	genome	sale	number_attributes	intermediateLevelSegment	collection	image	bf	total_editions	seriale	created_by	file_key	sensitive_content	Minted By	mag	spect	surname	image_profile_circle	matrix	image_no_bg_url	hash	pmdec	borrow	isFairDice	Date	date	ra	tokenid	animation_details	url	epithets	Website	Body	uses hash	artwork id	externalUrl	collection_id	external_url	createdBy	origin_cid	legal	animationUrls	extra_data	image_full	address	Ball	yHeight	sub_category	variety	artwork number	store_id	copyright	token_address	script type	glb	comp_primary	Artists	properties	compiler	ipfs	texture_bc	hr	audio_original	pmra	core_attributes	randomSeedData	ipfs_image	gl	artist	name	dna	script_type	image_ipfs	img	traits	contractAddress	license	website	flam	personality	rank	fee_recipient	tags	spectral_type	Clothes	Glass	ratio	ci	Type	avatar_url	coordinates_top_left	result	nft_contract_address	cannon_assetId	taskId	alt	ethPrice	created_year	initialLevelSegment	fiatPrice	cover_image_set	chainId	pmdecrad	rarad	amountToMint	poem	DeepestMystery	download	price	contributors	social_media	hd	image_profile_square	vy	totalReturns	visibility	originalIndex	iframe_url	message	absmag	finalLevelSegment	category	decrad	animation	stats	image_details	video	mintedOn	Background Color	creator	backgroundColor	x	colors	_id	Authors	Series	extras_future_url	platform	proper	edition	y	aspect_ratio	gamefi_URI	particleType	minter	language	vx	artwork serial	slot	dependencies	canvasHeightInPx	number	youtube_url
									ffffff																										Heartbeat 				https://res.cloudinary.com/nifty-gateway/video/upload/v1631625156/Patrick/Osinachi/HEARTBEAT_Osinachi_X_Don_Jazzy_-_Osinachi_rhdd0m.mp4																																																		11900010005																																																										0x4E3269889Da18B7229246408e0362Fc8C8748753	https://res.cloudinary.com/nifty-gateway/video/upload/v1631625156/Patrick/Osinachi/HEARTBEAT_Osinachi_X_Don_Jazzy_-_Osinachi_rhdd0m.png																															https://niftygateway.com/#/																																Heartbeat #5/87																																																																																			
																																			The Inglor																																																						154					trait_type,value																																																					0x06Ff10Ead43D14742eD223522C639Db3E608a484	https://ingloriousorcsbrawlparty.s3.amazonaws.com/assets/154.jpg																															https://ingloriousorcsbrawlparty.s3.amazonaws.com/token/154																																IngloriousOrcsBrawlParty #154																																																																																			
																																			Creature t																																																						1055					trait_type,value																																																					0xba0ca0F00defF4937cB6c475C3858536b52018c4	ipfs://QmRnU62xzM7HJiwoWpZdbqzLYiXa6pkUX6pbugvzDwMd1K/1055.jpg																															https://twitter.com/buyjpeg																																#1055																																																																																			
									ffffff																										Token Pill				https://res.cloudinary.com/nifty-gateway/video/upload/v1634221186/Andrea/Seerlight/token_pill_1_rcwty7.mp4																																																		17900010006																																																										0x8b04F728BBa8aeAb568E04496725B14DdD81Bb79	https://res.cloudinary.com/nifty-gateway/video/upload/v1634221186/Andrea/Seerlight/token_pill_1_rcwty7.png																															https://niftygateway.com/#/																																Token Pill 1 #6/485																																																																																			
																																			APE STRONG																																																						104					trait_type,value																																																					0x5Fe496311C4D128c1F2E13B49D3a3b8E9bc8F444	https://gateway.pinata.cloud/ipfs/QmUavc2Art1WTPiW8nskSSxrnmYEY7khCnNiS3K9nRs3Qe																															https://www.apepunks.co																																ApePunk #104																																																																																			
																																																																																									1					trait_type,value																																																					0x4F8f262D6AF00BBFa3CD473703e9E58F618eD335	https://gateway.pinata.cloud/ipfs/QmZLmKnaUWhP8DTCX9TRc5MCUwt7JZ5AwU6Dr8jh2E9g5B/1.jpg																																																															Pixel Doomer #1																																																																																			
																																			Bags of lu																																																						1126					trait_type,value																																																					0x48CDEcf8cCaDddD95BCAc3d271A01732b47EC7b9	https://metavate.mypinata.cloud/ipfs/QmXQrvMvLPfq46hQoEsTV1mPJH9C9SqUHesSYqqKEBkZQC/2/1126.png																																																															Lemur Lemur #1126																																																																																			
																																			ALL A'BOAR																																																2021						2					trait_type,value																	{'uri': 'https://ipfs.pixura.io/ipfs/QmdAFCB75WucZgnydMYVPc94GnDognzWGVEFoAatYzmnSn/thecondoctor.mp4', 'dimensions': '3024x2304', 'size': '25044846', 'mimeType': 'video/mp4'}																																				0x2619B9a4a9aAB186fF978a45D857291851A424fE	https://ipfs.pixura.io/ipfs/QmZZDfcy74hEyNBjfxK9kgyXyCReE764zVQZnatGknY2ZS/bitcoinanonymousbigcomicpaintingartcrypto.png																																BigComicArt' 💎 																															The Conductor 🚂													['bitcoin', 'comic', 'bigcomic', 'anonymous', 'occupy', 'wallstreet', 'train', 'robbery']																																																																						
				https://shoyu.mypinata.cloud/ipfs/QmQToorC7qQNKzn17kLjeZ5fv4fZiXzNrfcazZzpT9UPWQ																															These are 																																																						0																																																										0x62F1dDa0d426e6B9B7091795B1bB79894DbbE11c	https://shoyu.mypinata.cloud/ipfs/QmNRJoBFMaaJ3bQBiUFDiP66MPcQosoTpaks9KdPF835NR																																																															QUANTUM GENESIS																																																																																			
																																			8888 authe																																																						0					trait_type,value																																																					0xb6353E6753c857ec4961aC16dF4a4094Bb923D97	https://gateway.pinata.cloud/ipfs/Qmegb536skffWWzrBQNC4RWbzkcVg9Tgi7VZfJRGEnQxhp																															https://zodiacfriends.io																																Zodiac Friend #0																																																																																			
									ffffff																										The crypto				https://res.cloudinary.com/nifty-gateway/video/upload/v1620600771/Andrea/PerryCooper/24-7_export_-_Perry_Cooper_onpnsk.mp4																																																		28900010040																																																										0xb28C9a698d3C3d3f985F2b5EBBc269FB0F3B678D	https://res.cloudinary.com/nifty-gateway/video/upload/v1620600771/Andrea/PerryCooper/24-7_export_-_Perry_Cooper_onpnsk.png																															https://niftygateway.com/#/																																24/7 #40/83																																																																																			
