instructions	creator	directory	images	default	eventDrop	dna	description	image_portrait	isForSale	count	animation_loop	tokenID	_id	group	verification_uri	uniqueComboId	seed_hash	model	external_url	block	media	original_image	imageHash	preview	activeSale	tag	t_rarity	state	message	token_name	redeem	image_url	id	files	tokenid	coolDown	omni_position	fee_recipient	fingerprint	mintedOn	boosterId	dependencies	contributors	background	metaverse	createTime	resourceId	collection	about	arweave_url	disclosure	documents	gen	treeID	ownerCount	secondary_image_url	activeAuction	traits	tokenType	imageMimeType	createdBy	uploadedOn	version	contents	aspect_ratio	arweave_tx	interactive_nft	mediaMimeType	minter	created_by	background_color	decimals	unlisted_attributes	note	contract	debug2	image_static	to	ipfs	token_probability	project	summary	creatorAnnuity	apn	exerciseTimeEnd	opening_network	price	image	cargoDisplayContent	swapInfo	ram	from	iframe	fullimage	weight	lock	hash	owner	drc	tokenId	obj	points	dateCreated	auctionInfo	language	maxSpeed	image_data	exercisePrice	top_view	mintPrice	artDesc	exhibition	wallet	purchase_url	artist	chainType	video	principal	icon	Extension	aspect ratio (w/h)	image_full	warrantToken	exerciseAmount	imageUrl	edition	shareblock	symbol	octpass	adminName	platform	sialink	number	asset_type	artistAvatar	adminId	work_id	ID	status	nft_id	dapp	minted	maxTokens	created	acceleration	author	particleType	date	fingerprints	token_symbol	asset_size_in_bytes	mapping_id	compiler	audio_url	priceToken	tokenHash	exerciseTime	imageNumber	uses hash	customAttributes	usecase	animation_url_optim	designer	initialProbabilities	editions	ethPrice	ownedCountByCurrentUser	borrower	color	token_id	thumbnails	contract_address	license	asset	title	uuid	license agreement	nftType	token_uri	nft_class	totalEditions	yearCreated	tags	ethId	series	category	type	quantity	pinata_ipfs	model_url	braking	copyright	dynamic	externalUrl	asset_id	stats	by	seller_fee_basis_points	image_details	thumbnail	txHash	image_box	external_link	type_id	auction_details	grip	private	pendingBuy	randomNumber	is dynamic	totalReturns	material	createdAt	family	cpu	image24px	transferFee	onSaleCountByCurrentUser	formationDocument	hot	transactionHash	fiatPrice	filename	createdYear	print_file	$schema	swapInfoList	artwork	network	avatar_url	timestamp	$id	contractAddress	ps	home_url	transport	tier	Thumbnail	pet_paintings_irl	launch	website	__v	forAuction	royaltyInfo	debug	generated	shortName	attributes	full_id	name	script	amountToMint	county	level	external_uri	numAvailable	priceThenAndNow	tokenAddress	visibility	payment_address	animation	updatedAt	animation_details	arweave_uri	deedDocument	ipfs_image	properties	projectLogo	forSale	generation	animation_url	youtube_url	seed	collection_name	legal	telegram	handling	token
							Juice Gang																																									0xB5d1Add59a8c8c18645fab1Ec11efeE0DB1Df8a5																																								https://moonwalk.mypinata.cloud/ipfs/QmW5PAfkM9u1cFc9DUJFHyX7zBs8jrYHe6VX2J9QcrZbJc/1.png												1																																																																																																																																																				value,trait_type		Juice Gang #1																												
							My music i												https://niftygateway.com/#/																													0x86B3448919dcb802c96759f85B532dFe34990e64																							ffffff																	https://res.cloudinary.com/nifty-gateway/video/upload/v1620755258/Ashley/ToveLoxBlakeKathryn/ToveLo_SadGirlProblems_-_Blake_Kathryn_ncujpr.png												49700010003																																																																																																																																																						Sad Girls Problems #3/10																					https://res.cloudinary.com/nifty-gateway/video/upload/v1620755258/Ashley/ToveLoxBlakeKathryn/ToveLo_SadGirlProblems_-_Blake_Kathryn_ncujpr.mp4							
																																																0xbFd33549b112E096e10B1eD49b92e1961B8cB8aE																																																				1000000																																																																																																																																																																																		
																																																0xae127082af6E1f3271948209d74bA5E423c52AEc																																								https://gateway.pinata.cloud/ipfs/QmV6TXMBBnAMpjKjZvSpKpuCmCKbUB3g2rGx2V13euEQdY/100.png												100																																																																																																																																																						#100																												
							niceJPEG F												https://www.nicejpeg.com/																													0x229b2cF22988B52E38480e382D93Aa4668fd6634																																								https://storage.nicejpeg.com/assets/jpegpass.png												2																																																																																																																																																				value,trait_type		niceJPEG Access Pass #2																												
							THIS IS A 												https://thisisawar.io/tokenData/																													0x88410F7D21550cd6Dd67641cFa96F102d746BAd2																							#FFFFFF																	ipfs://QmQjet92LW17Xr46emaH4JuWrrcUyUm2g2vQbXjdFgTBRe												104																																																																																																																																																						THIS IS A WAR 104/250																					ipfs://QmU2aWGq8PiNQQq3dxz5qKC1qorPZaebWivLrHQqdNenxT							
							Gold Boomb												https://niftygateway.com/#/																													0x378839A7b6a46D972dF8BC016ec984c5D9B841D8																							ffffff																	https://res.cloudinary.com/nifty-gateway/image/upload/v1598015188/LyleOwerko2/radio_gold_duhyrh.gif												1200030002																																																																																																																																																						Gold Boombox: Animated #2/5																												
						5b26853372d785d61667d171505be44702970f77	10k Ninjas																																									0x95c15a245aB017c6D9F3fcF14CcE6756Cb527b0A																																								ipfs://QmabjQtH8UxEXX6od4RHchURi5qidqZdxmMLAAmduPMg6g/1.png												1																										1																						1635904848835					HashLips Art Engine																																																																																															value,trait_type		Blockstar Ninjas #1																												
																																																0xfB5eCf2EBF1B02c26aD1736FD79cAB11367de7bb																																																				107																																																																																																																																																																																		
						109500800	10,000 Lun																																									0x6020371b0E8a2fc259A6B111d178BBa9C966A4a4																																								https://lunalanders.com/metadata/134.png												134																										134																						1630350448735																																																																																																				value,trait_type		LunaLander #134																												
