related_assets	subtitle	creator	supports_wyvern	youtube_url	token_id	compiler	original_creator	listing_date	Background	viewKey	rich_text	home_url	created_at	dna	last_sale	category	Name	Hat	animation_original_url	royaltyInfo	background	Details	gameId	sub_category	permalink	maxEdition	seller_fee_basis_points	visualID	timestamp	serialNumber	frame_2	arweave	total_supply	asset_url	type	owner	tags	transfer_fee_payment_token	top_ownerships	image_original_url	map	locked	product_id	license	edition_total	apiURL	success	attributes	alt-image	printableSeries	num_sales	images	imageHash	dwellers	talentNumber	transfer_fee	OG_Membership	collection	amountToMint	P Name	website	decimals	expiration	talentId	Artist	Certified	yearCreated	by	image_details	fee_recipient	nft_class	version	code_txhash	template_id	trans_bg	ipfs	updated_at	auctionLength	media	on_chain_data_url	traps	asset_size_in_bytes	index	background_color	projectLogo	code	static_image	external_url	gasless	token_hash_content	chainId	svg	shortName	ID	edition	animation_url	orders	image_preview_url	author	copyright	lock	contract	babl	bitmarkID	legal	iframe_url	arweave_tx	metadata_standard	artist_website	rarity	Gen	artist	year	collaborators	hash	artistRoyaltyInfo	tokenid	asset_contract	fiatPrice	ethPrice	location	_id	Collection	frame_1	libraries	resellable	video	Fur	url	nft_id	project	cardNumber	uuid	unlockable_content	result	UDID	hashes	contractAddress	image_url	items	fingerprint	seller_fee_bais_points	auction_details	audio	entrance	ownership	base	arweave_uri	atributes	trade_shares	__v	created_by	auctions	assetId	Eyes	hifi_media	embed_url	birthday	playable	animation_details	display_name	edition_number	tokenIndex	token_hash	externalUrl	avatar_url	metadata	media_type	artist_address	mimeType	name	file_key	dependencies	exit_connections	language	platform	Clothes	external url	id	image_thumbnail_url	$schema	nft_contract_address	tokenID	aspect_ratio	createdOn	properties	license_url	edition_name	forSale	external_link	IPFS Storage Power	mintedOn	meta	numAvailable	createdBy	env	is_presale	sell_orders	image_data	minted	$id	thumbnail	Alpha Score	files	collection_name	createdAt	exists	data	highest_buyer_commitment	top_bid	animation	uniqueComboId	room_count	card_id	script_type	symbol	date	auctionType	preview_images	visibility	asset_type	original_url	secondary_image	number	artwork_metadata_urls	level	traits	imageUrl	external_url_nil	network	minter	userID	image	token_metadata	Mouth	contents	error	artwork_download_url	address	description	title	updatedAt	mediaType	price	ipfs_image	image_no_bg_url	lineart	token_uri	biome	royalty_amount	payout_address	copyright_transfer	tokenId
					1																																																					0x82EDDD517751519c0AF07b026f175928C11C394B																																	1					https://s3.ap-northeast-1.amazonaws.com/metadata.nft-studio.com/assets/jyashin/%E3%82%B5%E3%83%A0%E3%83%8D%E6%98%A0%E5%83%8F.mp4																																																																											"邪神ちゃんドロップキック　1話（無修正版）"" Jashinchan Dropkick(Dropkick on My Devil!!) First episode(Uncorrected version)""　"											0x82eddd517751519c0af07b026f175928c11c394b																		✅																																	https://s3.ap-northeast-1.amazonaws.com/metadata.nft-studio.com/assets/jyashin/06C5ECED-449C-42B6-BA0F-082DE34E4A96.jpeg							「邪神ちゃんドロップ													1
																																			ERC721		[]											trait_type,value										0xe2F5349616FdA0c35F6c66A14B6256e30DaC066E	25																													https://mintbase.io/my-market/0xe2f5349616fda0c35f6c66a14b6256e30dac066e																															$0.00																			0xe2f5349616fda0c35f6c66a14b6256e30dac066e																																	1UP 																		False			{'_seconds': 1584309887, '_nanoseconds': 178000000}		0						Minted on Mintbase.io																																	https://firebasestorage.googleapis.com/v0/b/thing-1d2be.appspot.com/o/token%2Fasset-1584308930337?alt=media&token=f7bf7bc8-0870-4e0e-b6c7-3d9ad0a23404							♡				0.00									85
																																																										0xd33e0f592Ec74dBFc792a1dB94D151A22603f484																														https://app.pace.art																																																																																			Flower #1 example								1																																																						https://media.app.pace.art/input/nft-image/10/1637376049133.jpeg							This is a 													1
																																																value,trait_type										0x8fA666447041dc13E6f7dcbaaFA821f9508D8ef5																																																																																																																	LoL 1																																																														https://api.legionsofloud.com/images/prereveal.png																				1
																																																										0x9FffABD2BBDB0253f94900e7E1B0C44831fCF1F9																																						https://ipfs.epikprime.com/ipfs/QmZk2xkA53MYxaNpzwmN6otn26xGs65dUPoReqf6SPttht																																																																											Beyond Words																																																														https://ipfs.epikprime.com/ipfs/QmYwkxYif2QytfHeQJ4YUrtFtMspE4fgwrUSobNdk6khvP							For Nazaro													13000000000000000018
						HeroBit Engine								2d4a4e96fc81eb7f08dfe56d16dad8683904fb58																																		value,trait_type										0xFcDdEe55DE2c8fAa5897b0F5E4bA13f8252d601E																																					124																																																																												Onchain Barrel #124																																														1633139882482																ipfs://QmaSsgmEQtCzq3QKGwQkhjnaGXBcbeJjmsJLfqHrFJWpe8/124.png							Quit Yah B													124
																																																										0x789c00ed7DDd72A806DBaC40Df926dF32fde3C2f																																																																																																																	pixel-awers-art.jpg																																																														ipfs://bafkreiekvdifder6g5izdonqlh4uytep7uqbivzxtglgkqxnmbv6g3wx4a																				1463816000000000
																																																										0x493cc67Fb87616c207F0bC56D1e127d2C4870883																																																																																																																																																																																																			100001011
																																																										0x317F1aC96d965c86a79010327fBE40054A94Ed92																																																																																																																	The Wolfpack																																																														ipfs://QmbmdnaxAiM9mZMrpKzPKzUYKY3cHD8NqYVrkCrWJyUCJ3/hidden.gif							The Wolfpa													1
																																																										0x4a180e2b0aEf79c0389A325F426017764822B459																																																																																																																																																																																																			0
